MFGORDTYP,MFGORD,Material,MFGPLANT,Production Date,MFGORDACTLSTARTDT,Hold Date,MFGYEAR,PlantName,WorkCenterText,Disposition,MaterialName,MaterialType,MaterialTypeName,MaterialGroupName,Inv_C,PMIC,SKUCRTDT,CS,PAK,Bottle_Code,Item Description ,Unit_Sz_Desc,Label_Flavor_C,Prod_Color_C,Plan_Brand_C,Plan_Brand_Desc,PKGFMT,PKGFMT_D,PAKATTR,PAKATTR_D,CLOS_RPA_ID,Item Type,Line_of_Business_Desc,Cases Reworked,casesProduced,Cost,BatchNumber,DEFECT_CODE,DEFECT_TEXT,KURZTEXT,Origin Plant,SRC,SRCORDTYP,SRCORDERNO,SRCMATERIAL,SRCBATCH,SRCPLANT,WORKCENTER,SRCRCPTQTY,VENDOR,VENDORNAME,BATCH_CRTDT,BATCH_EXPIREDT,BATCH_SHIPBYDT,ORD_LONG_TEXT,RUNTIMESTAMP,Year,Cateogry,SubCat,GroupedCat,Site,WO Sum,Month,Quarter,Rework Lag,L1 Root Cause,L2 Root Cause,Rework Cost,Release Rate
ZP03,3081177,210060876,1151,2/10/2023,3/16/2023,3/10/2023,2023,Gallo Winery CDC Modesto,Rework Non Value Add 01,Rework,LO-FIAPT DRYVRTH 750ML 6EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003970OS,44818,6,,2845,2845 750ML CLARET-FLAT BOTTOM SC,750ML,DVM,WHT,LFI,LO-FI APERITIFS,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,"1,200","3,600","9,721.45",2023013154,WPLG,WINE,P-LEAKER,1151,WO,ZP01,3078975,210060876,2023013154,1107,MOBILE54,4454,,,1/31/2023,3/28/2025,3/28/2025,"EVENT ID#: 3526717
LOT DATE: 2023020754
H-HACCP Violation
100% candling & inspection. Findings from candling inspection to be recorded on
 GCO-000-FM-00210 Chipped Finish Inspection Form and uploaded to Special
Services SharePoint.
PFO samples send bottles to:
Valerie Belo and Christa Rose
105 Zinfandel Lane St. Helena. CA",12/23/2025 9:44,2023,Prod,Closure,P-LEAKER,Mod,1,3,1,38,Machine,Inspection,"$7,000,000.00 ",40%
ZP03,3092698,210069420,1178,9/6/2023,9/6/2023,9/6/2023,2023,CCO Chester County,CCO REWORK 1,Rework,PKWTNY PNKLMD DECO 50ML PET 10PK120EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000502036OS,44847,120,10,3300,50ML,50ML,PWH,PNK,PWV,PINK WHITNEY,PET_BOTTLE,PET_BOTTLE - PET,DCO10PK,DECORATED SHRINK 10PK,CLOS_CAP,CLOSURE CAP,Spirits,255,"29,760","6,210.92",20230829CD,SCC,SPRT,P-CAP/CROWN,1178,WO,ZP01,3092488,210069420,20230829CD,1178,CCCD,3047,,,8/29/2023,8/23/2024,8/23/2024,,12/23/2025 9:44,2023,Prod,Closure,P-CAP/CROWN,CCO,1,9,3,8,Material,Other,,
ZP03,3093320,210068845,1155,9/13/2023,9/21/2023,9/22/2023,2023,Gallo CDC Modesto East,Rework Non Value Add 01,Rework,ORNSWFT CAL MANQCHD 750ML 12EA V22 OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000004342OS,44848,12,,4374,BURGUNDY MARQUIS 750 SAVER,750ML,MNC,WHT,OSC,ORIN SWIFT CELLARS,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CORK,CLOSURE CORK,Luxury,"1,760","11,040","140,320.70",2023090888,WO2,WINE,A-O2,1155,WO,ZP01,3092728,210068845,2023090888,1109,LN88,4423,,,9/8/2023,3/9/2026,3/9/2026,INVERTING,12/23/2025 9:44,2023,Prod,Liquid,A-O2,ModEast,1,9,3,14,Machine,Inverting,,
ZP03,3093321,210068845,1155,9/13/2023,9/22/2023,9/22/2023,2023,Gallo CDC Modesto East,Rework Non Value Add 01,Rework,ORNSWFT CAL MANQCHD 750ML 12EA V22 OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000004342OS,44848,12,,4374,BURGUNDY MARQUIS 750 SAVER,750ML,MNC,WHT,OSC,ORIN SWIFT CELLARS,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CORK,CLOSURE CORK,Luxury,"1,520","7,680","97,614.40",2023090888,WO2,WINE,A-O2,1155,WO,ZP01,3092728,210068845,2023090888,1109,LN88,4423,,,9/8/2023,3/9/2026,3/9/2026,INVERTING,12/23/2025 9:44,2023,Prod,Liquid,A-O2,ModEast,1,9,3,14,Machine,Inverting,,
ZP03,3093546,210069841,1178,9/19/2023,9/22/2023,9/22/2023,2023,CCO Chester County,CCO REWORK 1,Rework,NAMSDMV VDK 1.0L 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003238OS,44861,12,,2076,VERALIA 1.0L GIN/VODKA 30X60,1.0L,VKA,CLR,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,81,720,"2,215.22",20230818CE,SFOD,SPRT,H-FOREIGN OBJECT DETECTED,1178,WO,ZP01,3091780,210069841,20230818CE,1178,CCCE,8305,,,8/18/2023,8/17/2027,8/17/2027,,12/23/2025 9:44,2023,Prod,Liquid,H-FOREIGN OBJECT DETECTED,CCO,0.333333333,9,3,35,Procedure,Other,,
ZP03,3093546,210069841,1178,9/19/2023,9/22/2023,9/22/2023,2023,CCO Chester County,CCO REWORK 1,Rework,NAMSDMV VDK 1.0L 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003238OS,44861,12,,2076,VERALIA 1.0L GIN/VODKA 30X60,1.0L,VKA,CLR,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,81,720,"2,215.22",20230818CE,SLBL,SPRT,P-LABEL,1178,WO,ZP01,3091780,210069841,20230818CE,1178,CCCE,8305,,,8/18/2023,8/17/2027,8/17/2027,,12/23/2025 9:44,2023,Prod,Label,P-LABEL,CCO,0.333333333,9,3,35,Material,Other,,
ZP03,3093546,210069841,1178,9/19/2023,9/22/2023,9/22/2023,2023,CCO Chester County,CCO REWORK 1,Rework,NAMSDMV VDK 1.0L 12EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003238OS,44861,12,,2076,VERALIA 1.0L GIN/VODKA 30X60,1.0L,VKA,CLR,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,81,720,"2,215.22",20230818CE,SPFO,SPRT,H-POSSIBLE FOREIGN OBJECT,1178,WO,ZP01,3091780,210069841,20230818CE,1178,CCCE,8305,,,8/18/2023,8/17/2027,8/17/2027,,12/23/2025 9:44,2023,Prod,Liquid,H-FOREIGN OBJECT DETECTED,CCO,0.333333333,9,3,35,Procedure,Other,,
ZP03,3093930,210068845,1151,9/28/2023,10/6/2023,10/6/2023,2023,Gallo Winery CDC Modesto,Rework Non Value Add 01,Rework,ORNSWFT CAL MANQCHD 750ML 12EA V22 OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000004342OS,44848,12,,4374,BURGUNDY MARQUIS 750 SAVER,750ML,MNC,WHT,OSC,ORIN SWIFT CELLARS,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CORK,CLOSURE CORK,Luxury,104,588,"7,473.59",2023090888,WO2,WINE,A-O2,1155,WO,ZP01,3092728,210068845,2023090888,1109,LN88,4423,,,9/8/2023,3/9/2026,3/9/2026,INVERTING,12/23/2025 9:44,2023,Prod,Liquid,A-O2,Mod,1,10,4,28,Machine,Inverting,,
ZP03,3095897,210069859,1178,11/3/2023,11/8/2023,11/8/2023,2023,CCO Chester County,CCO REWORK 1,Rework,NAMSDMV PINFLVD 1.75L 6EA OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000003779OS,44861,6,,2224,VERALIA 1.75L GIN/VODKA 36MM,1.75L,PAV,WHT,NAV,NEW AMSTERDAM VODKA,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Spirits,648,"3,888","18,442.38",20230905CE,SCC,SPRT,P-CAP/CROWN,1178,WO,ZP01,3092589,210069859,20230905CE,1178,CCCE,4653,,,9/5/2023,8/30/2024,8/30/2024,"INSTRUCTION *****100% inspection for cut caps and candling for foreign
material*****",12/23/2025 9:44,2023,Prod,Closure,P-CAP/CROWN,CCO,1,11,4,64,Material,Inspection,,
ZP03,3097201,210071715,1151,11/30/2023,12/22/2023,12/20/2023,2023,Gallo Winery CDC Modesto,Rework Non Value Add 01,Rework,HOGUCLR CLV CABSV 750ML 12EA V21 OS,ZFRT,Finished Products,Gallo Finished Good,OS,000000000000501295OS,44916,12,,8675,8675 750ML SCREW CAP,750ML,CAB,RED,HGC,HOGUE CELLARS,GLASS_BOTTLE,GLASS_BOTTLE - BTL,,,CLOS_CAP,CLOSURE CAP,Commercial,120,"1,440","6,261.12",20230810H1,WGLS,WINE,P-GLASS,1155,WO,ZP01,3091123,210071715,20230810H1,1160,WAH1,4570,,,8/10/2023,1/26/2026,1/26/2026,"EVENT: 3532955
LOT: 20230810
P-GLASS
Glass with 4-5 inches blank tear
Sample two pallets AW835745 and AW835751 (25 cases per pallet) from run and
open cases. 100% inspect bottles for major blank tear defect. Reseal cases
after inspection. Return pallets to Hold status after inspection. Send count of
defects found to Edwin.garcia@ejgallo.com post inspection for further
disposition next steps.",12/23/2025 9:44,2023,Prod,Glass,P-GLASS,Mod,1,12,4,132,Material,Inspection,,
